ticker,sector
AAPL,information_technology
ABBV,health_care
ABT,health_care
ACN,information_technology
ADBE,information_technology
AIG,financials
AMAT,information_technology
AMD,information_technology
AMGN,health_care
AMT,real_estate
AMZN,consumer_discretionary
AVGO,information_technology
AXP,financials
BA,industrials
BAC,financials
BBBY,consumer_discretionary
BK,financials
BKNG,consumer_discretionary
BLK,financials
BMY,health_care
BRK.B,financials
C,financials
CAT,industrials
CL,consumer_staples
CMCSA,communication_services
COF,financials
COP,energy
COST,consumer_staples
CRM,information_technology
CSCO,information_technology
CVS,health_care
CVX,energy
DE,industrials
DHR,health_care
DIS,communication_services
DUK,utilities
EMR,industrials
FDX,industrials
FNMA,financials
FRCB,financials
GD,industrials
GE,industrials
GEV,industrials
GILD,health_care
GM,consumer_discretionary
GOOG,communication_services
GOOGL,communication_services
GS,financials
HD,consumer_discretionary
HON,industrials
HTZ,industrials
IBM,information_technology
INTC,information_technology
INTU,information_technology
ISRG,health_care
JNJ,health_care
JPM,financials
KO,consumer_staples
LIN,materials
LLY,health_care
LMT,industrials
LOW,consumer_discretionary
LRCX,information_technology
MA,financials
MCD,consumer_discretionary
MDLZ,consumer_staples
MDT,health_care
META,communication_services
MMM,industrials
MO,consumer_staples
MRK,health_care
MS,financials
MSFT,information_technology
MU,information_technology
NEE,utilities
NFLX,communication_services
NKE,consumer_discretionary
NOW,information_technology
NVDA,information_technology
ORCL,information_technology
PEP,consumer_staples
PFE,health_care
PG,consumer_staples
PLTR,information_technology
PM,consumer_staples
QCOM,information_technology
RTX,industrials
SBUX,consumer_discretionary
SCHW,financials
SO,utilities
SPG,real_estate
T,communication_services
TMO,health_care
TMUS,communication_services
TSLA,consumer_discretionary
TXN,information_technology
UBER,industrials
UNH,health_care
UNP,industrials
UPS,industrials
USB,financials
V,financials
VZ,communication_services
WFC,financials
WMT,consumer_staples
XOM,energy
